param			w			W_T			dkr1			W			dkv1_of			supp	load	G			dkr1_k			
14.02.2018_1:22:17	524.478454589844	2.54859298706055	1.83953033268102	2.47553816046967	0.0319148936170234	0	1	36.7906074523926	6.1839530332681		
14.02.2018_1:22:18	524.478454589844	2.54859298706055	1.83953033268102	2.47553816046967	0.0319148936170234	0	1	37.0841484069824	6.16438356164384	
14.02.2018_1:22:20	524.478454589844	2.54859298706055	1.83953033268102	2.47553816046967	0.0319148936170234	0	1	36.6927604675293	6.16438356164384	
14.02.2018_1:22:21	524.478454589844	2.54859298706055	1.83953033268102	2.47553816046967	0.0319148936170234	0	1	36.8884544372559	6.14481409001957	
14.02.2018_1:22:23	524.478454589844	2.54859298706055	1.83953033268102	2.47553816046967	0.0319148936170234	0	1	36.9863014221191	6.14481409001957	
14.02.2018_1:22:24	524.478454589844	2.54859298706055	1.83953033268102	2.46575342465753	0.0346666666666680	0	1	36.9863014221191	6.14481409001957	
14.02.2018_1:22:26	524.581726074219	2.54859298706055	1.83953033268102	2.47553816046967	0.0344827586206910	0	1	36.9863014221191	6.16438356164384	
14.02.2018_1:22:27	524.581726074219	2.54859298706055	1.83953033268102	2.4853228962818		0.0344827586206910	0	1	37.0841484069824	6.1839530332681		
14.02.2018_1:22:29	524.581726074219	2.54859298706055	1.83953033268102	2.4853228962818		0.0344827586206910	0	1	36.6927604675293	6.1839530332681		
14.02.2018_1:22:30	524.581726074219	2.54859298706055	1.83953033268102	2.4853228962818		0.0317460317460326	0	1	36.8884544372559	6.20352250489237	
14.02.2018_1:22:32	524.581726074219	2.54859298706055	1.83953033268102	2.4853228962818		0.0319148936170234	0	1	36.6927604675293	6.16438356164384	
14.02.2018_1:22:33	524.581726074219	2.54859298706055	1.83953033268102	2.47553816046967	0.0293333333333350	0	1	37.1819953918457	6.16438356164384	
14.02.2018_1:22:34	524.685302734375	2.54859298706055	1.83953033268102	2.47553816046967	0.0319148936170234	0	1	37.3776893615723	6.16438356164384	
14.02.2018_1:22:36	524.685302734375	2.54859298706055	1.83953033268102	2.47553816046967	0.0293333333333350	0	1	37.0841484069824	6.16438356164384	
14.02.2018_1:22:37	524.685302734375	2.54859298706055	1.83953033268102	2.47553816046967	0.0293333333333350	0	1	37.0841484069824	6.16438356164384	
14.02.2018_1:22:39	524.685302734375	2.54859298706055	1.83953033268102	2.4853228962818		0.0291777188328929	0	1	36.6927604675293	6.16438356164384	
14.02.2018_1:22:40	524.685302734375	2.54859298706055	1.83953033268102	2.47553816046967	0.0293333333333350	0	1	36.594913482666		6.16438356164384	
14.02.2018_1:22:42	524.685302734375	2.54859298706055	1.83953033268102	2.4853228962818		0.0238726790450934	0	1	36.8884544372559	6.1839530332681		
14.02.2018_1:22:43	524.788818359375	2.54859298706055	1.83953033268102	2.4853228962818		0.0238726790450934	0	1	37.0841484069824	6.1839530332681		
14.02.2018_1:22:44	524.788818359375	2.54859298706055	1.83953033268102	2.4853228962818		0.0238726790450934	0	1	37.1819953918457	6.1839530332681		
14.02.2018_1:22:46	524.788818359375	2.54859298706055	1.83953033268102	2.4853228962818		0.0238726790450934	0	1	37.1819953918457	6.1839530332681		
