param			dkv1_of			G			W			
20.11.2017_17:30:14	-0.1016042780748672	37.0841484069824	2.44618395303327	
20.11.2017_17:30:16	-0.1099195710455773	36.9863014221191	2.44618395303327	
20.11.2017_17:30:17	-0.1229946524064167	36.9863014221191	2.44618395303327	
20.11.2017_17:30:18	-0.1266846361185999	37.0841484069824	2.426614481409		
20.11.2017_17:30:20	-0.1313672922252024	36.7906074523926	2.44618395303327	
20.11.2017_17:30:21	-0.1428571428571421	36.594913482666		2.43639921722114	
20.11.2017_17:30:22	-0.1497326203208551	36.8884544372559	2.44618395303327	
20.11.2017_17:30:24	-0.1559139784946228	36.6927604675293	2.44618395303327	
20.11.2017_17:30:25	-0.1581769436997314	36.8884544372559	2.44618395303327	
20.11.2017_17:30:26	-0.1626666666666659	36.7906074523926	2.44618395303327	
20.11.2017_17:30:28	-0.1648936170212751	36.4970626831055	2.4559686888454		
20.11.2017_17:30:29	-0.1702127659574465	36.7906074523926	2.4559686888454		
20.11.2017_17:30:31	-0.1618037135278493	36.594913482666		2.4559686888454		
20.11.2017_17:30:32	-0.1662269129287586	36.8884544372559	2.46575342465753	
20.11.2017_17:30:33	-0.1662269129287586	36.594913482666		2.46575342465753	
20.11.2017_17:30:35	-0.1746031746031739	36.3992156982422	2.46575342465753	
20.11.2017_17:30:36	-0.1746031746031739	36.6927604675293	2.46575342465753	
20.11.2017_17:30:37	-0.1746031746031739	36.6927604675293	2.46575342465753	
20.11.2017_17:30:39	-0.1767810026385223	36.6927604675293	2.46575342465753	
20.11.2017_17:30:40	-0.1767810026385223	36.7906074523926	2.47553816046967	
20.11.2017_17:30:41	-0.1789473684210528	36.594913482666		2.47553816046967	
20.11.2017_17:30:43	-0.1842105263157907	36.6927604675293	2.47553816046967	
20.11.2017_17:30:44	-0.1842105263157907	36.4970626831055	2.47553816046967	
20.11.2017_17:30:46	-0.1873350923482869	36.594913482666		2.47553816046967	
20.11.2017_17:30:47	-0.1873350923482869	36.6927604675293	2.46575342465753	
20.11.2017_17:30:48	-0.1746031746031739	36.594913482666		2.47553816046967	
20.11.2017_17:30:50	-0.1746031746031739	36.6927604675293	2.47553816046967	
20.11.2017_17:30:51	-0.1746031746031739	36.4970626831055	2.47553816046967	
20.11.2017_17:30:53	-0.1746031746031739	36.3013687133789	2.47553816046967	
